iter	Passed	Remaining
463	756	873
464	757	871
465	758	869
466	760	867
467	761	865
468	762	862
469	763	860
470	764	858
471	765	856
472	767	854
473	768	853
474	770	851
475	772	850
476	775	849
477	776	847
478	777	845
479	778	843
480	779	841
481	780	838
482	781	836
483	782	834
484	783	832
485	784	829
486	785	827
487	787	825
488	788	824
489	789	822
490	790	819
491	791	817
492	793	815
493	794	813
494	795	811
495	796	809
496	797	807
497	798	804
498	799	802
499	800	800
500	802	798
501	803	796
502	804	794
503	805	792
504	806	790
505	807	788
506	808	786
507	809	784
508	810	782
509	811	779
510	812	777
511	813	775
512	814	773
513	816	771
514	817	769
515	819	768
516	820	766
517	821	764
518	822	762
519	823	759
520	824	757
521	825	755
522	826	753
523	827	751
524	828	749
525	829	747
526	830	745
527	832	744
528	833	742
529	834	739
530	835	738
531	837	736
532	838	734
533	839	732
534	840	730
535	842	729
536	843	727
537	844	725
538	846	724
539	848	722
540	849	720
541	850	718
542	851	716
543	853	715
544	854	713
545	855	711
546	856	709
547	857	707
548	859	706
549	861	704
550	862	703
551	864	701
552	865	699
553	866	697
554	868	696
555	869	694
556	870	692
557	871	690
558	873	689
559	875	687
560	877	686
561	878	684
562	879	682
563	880	681
564	882	679
565	883	677
566	884	675
567	885	673
568	887	672
569	888	670
570	890	669
571	892	667
572	894	666
573	895	664
574	896	662
575	898	661
576	899	659
577	901	657
578	902	656
579	904	655
580	906	653
581	907	651
582	908	649
583	910	648
584	911	646
585	912	644
586	913	642
587	915	641
588	917	640
589	919	638
590	921	637
591	922	636
592	925	634
593	926	633
594	928	631
595	930	630
596	936	631
597	937	630
598	939	628
599	941	627
600	943	626
601	950	628
602	952	627
603	954	625
604	957	624
605	958	623
606	964	624
607	966	623
608	967	621
609	969	619
610	971	618
611	973	617
612	976	616
613	978	615
614	980	613
615	982	612
616	983	610
617	985	609
618	986	607
619	988	606
620	991	605
621	993	603
622	995	602
623	997	600
624	999	599
625	1000	597
626	1005	598
627	1008	597
628	1009	595
629	1010	593
630	1012	591
631	1014	590
632	1016	589
633	1021	589
634	1023	588
635	1026	587
636	1028	585
637	1030	584
638	1035	585
639	1037	583
640	1039	582
641	1040	580
642	1042	578
643	1044	577
644	1046	575
645	1052	576
646	1053	575
647	1055	573
648	1057	571
649	1059	570
650	1060	568
651	1065	568
652	1067	567
653	1069	565
654	1072	564
655	1074	563
656	1076	561
657	1079	560
658	1080	559
659	1082	557
660	1083	555
661	1084	553
662	1085	551
663	1087	550
664	1088	548
665	1090	546
666	1092	545
667	1094	544
668	1095	542
669	1097	540
670	1098	538
671	1099	536
672	1100	534
673	1102	533
674	1103	531
675	1106	530
676	1108	528
677	1110	527
678	1111	525
679	1112	523
680	1114	521
681	1116	520
682	1117	518
683	1123	518
684	1124	517
685	1126	515
686	1127	513
687	1129	512
688	1130	510
689	1131	508
690	1132	506
691	1135	505
692	1137	503
693	1139	502
694	1141	500
695	1142	499
696	1144	497
697	1145	495
698	1146	493
699	1148	492
700	1150	490
701	1152	489
702	1153	487
703	1155	485
704	1156	483
705	1158	482
706	1159	480
707	1161	478
708	1164	478
709	1166	476
710	1168	474
711	1169	473
712	1170	471
713	1172	469
714	1174	468
715	1176	466
716	1179	465
717	1181	464
718	1183	462
719	1184	460
720	1185	458
721	1187	457
722	1188	455
723	1189	453
724	1193	452
725	1195	451
726	1196	449
727	1198	447
728	1199	445
729	1200	444
730	1202	442
731	1203	440
732	1204	438
733	1207	437
734	1209	436
735	1210	434
736	1211	432
737	1212	430
738	1213	428
739	1214	426
740	1215	424
741	1216	423
742	1217	421
743	1218	419
744	1220	417
745	1222	416
746	1223	414
747	1225	412
748	1226	410
749	1227	409
750	1228	407
751	1229	405
752	1230	403
753	1231	401
754	1233	400
755	1236	398
756	1238	397
757	1239	395
758	1240	393
759	1241	392
760	1242	390
761	1243	388
762	1244	386
763	1245	384
764	1246	383
765	1247	381
766	1251	380
767	1252	378
768	1253	376
769	1254	374
770	1255	373
771	1257	371
772	1258	369
773	1259	367
774	1260	365
775	1261	364
776	1262	362
777	1265	360
778	1266	359
779	1268	357
780	1269	355
781	1270	354
782	1271	352
783	1272	350
784	1273	348
785	1274	346
786	1275	345
787	1276	343
788	1279	342
789	1281	340
790	1282	338
791	1283	337
792	1284	335
793	1285	333
794	1286	331
795	1287	330
796	1288	328
797	1289	326
798	1290	324
799	1291	322
800	1294	321
801	1296	320
802	1297	318
803	1298	316
804	1300	314
805	1301	313
806	1302	311
807	1303	309
808	1304	307
809	1305	306
810	1306	304
811	1309	303
812	1310	301
813	1311	299
814	1312	298
815	1314	296
816	1315	294
817	1316	292
818	1317	291
819	1318	289
820	1319	287
821	1320	285
822	1321	284
823	1326	283
824	1328	281
825	1329	280
826	1330	278
827	1331	276
828	1332	274
829	1333	273
830	1334	271
831	1335	269
832	1339	268
833	1340	266
834	1342	265
835	1343	263
836	1344	261
837	1345	260
838	1346	258
839	1347	256
840	1348	254
841	1349	253
842	1350	251
843	1353	250
844	1355	248
845	1356	246
846	1357	245
847	1358	243
848	1359	241
849	1360	240
850	1361	238
851	1363	236
852	1364	235
853	1365	233
854	1368	232
855	1370	230
856	1371	228
857	1372	227
858	1373	225
859	1374	223
860	1375	222
861	1376	220
862	1377	218
863	1378	216
864	1379	215
865	1380	213
866	1383	212
867	1385	210
868	1386	208
869	1387	207
870	1388	205
871	1389	203
872	1390	202
873	1391	200
874	1392	198
875	1393	197
876	1394	195
877	1398	194
878	1399	192
879	1400	191
880	1401	189
881	1402	187
882	1403	186
883	1405	184
884	1406	182
885	1407	181
886	1408	179
887	1409	177
888	1410	176
889	1412	174
890	1414	173
891	1415	171
892	1416	169
893	1417	168
894	1418	166
895	1419	164
896	1420	163
897	1421	161
898	1422	159
899	1423	158
900	1426	156
901	1428	155
902	1429	153
903	1430	151
904	1431	150
905	1432	148
906	1433	147
907	1434	145
908	1435	143
909	1436	142
910	1437	140
911	1439	138
912	1442	137
913	1443	135
914	1444	134
915	1445	132
916	1446	130
917	1447	129
918	1448	127
919	1449	126
920	1450	124
921	1451	122
922	1452	121
923	1455	119
924	1457	118
