iter	Passed	Remaining
436	1413	1820
437	1415	1815
438	1417	1810
439	1418	1805
440	1420	1800
441	1423	1797
442	1425	1792
443	1427	1787
444	1429	1783
445	1433	1780
446	1435	1776
447	1438	1772
448	1440	1767
449	1442	1763
450	1445	1759
451	1447	1754
452	1452	1753
453	1457	1753
454	1459	1748
455	1462	1745
456	1466	1742
457	1468	1737
458	1471	1734
459	1473	1729
460	1475	1725
461	1477	1720
462	1480	1716
463	1482	1712
464	1484	1708
465	1486	1703
466	1488	1698
467	1490	1694
468	1493	1691
469	1495	1686
470	1499	1683
471	1501	1679
472	1504	1676
473	1508	1674
474	1510	1669
475	1512	1664
476	1514	1660
477	1516	1655
478	1518	1651
479	1521	1648
480	1523	1644
481	1526	1640
482	1529	1636
483	1531	1632
484	1533	1628
485	1536	1624
486	1538	1620
487	1540	1616
488	1542	1612
489	1544	1607
490	1546	1602
491	1548	1599
492	1551	1595
493	1553	1590
494	1555	1586
495	1557	1582
496	1559	1577
497	1561	1573
498	1563	1570
499	1566	1566
500	1568	1561
501	1569	1557
502	1571	1552
503	1573	1548
504	1575	1544
505	1578	1541
506	1580	1536
507	1583	1533
508	1584	1528
509	1586	1524
510	1588	1520
511	1591	1516
512	1593	1512
513	1595	1508
514	1597	1504
515	1599	1500
516	1605	1499
517	1607	1495
518	1609	1491
519	1611	1487
520	1613	1483
521	1620	1483
522	1622	1480
523	1625	1477
524	1628	1473
525	1631	1470
526	1633	1466
527	1635	1462
528	1638	1458
529	1640	1454
530	1644	1452
531	1646	1448
532	1648	1444
533	1650	1440
534	1652	1435
535	1653	1431
536	1656	1428
537	1659	1424
538	1660	1420
539	1663	1416
540	1664	1412
541	1667	1408
542	1668	1404
543	1671	1401
544	1673	1397
545	1675	1393
546	1677	1389
547	1679	1385
548	1681	1381
549	1682	1376
550	1686	1374
551	1688	1370
552	1691	1367
553	1693	1363
554	1696	1360
555	1700	1357
556	1702	1353
557	1704	1349
558	1706	1346
559	1708	1342
560	1709	1337
561	1712	1334
562	1714	1330
563	1716	1326
564	1718	1323
565	1720	1319
566	1722	1315
567	1724	1311
568	1727	1308
569	1729	1304
570	1731	1301
571	1733	1297
572	1735	1293
573	1737	1289
574	1739	1285
575	1741	1282
576	1743	1278
577	1745	1274
578	1747	1270
579	1749	1266
580	1751	1262
581	1753	1259
582	1757	1256
583	1760	1254
584	1762	1250
585	1765	1247
586	1771	1246
587	1776	1244
588	1778	1241
589	1780	1237
590	1784	1235
591	1789	1233
592	1792	1230
593	1794	1226
594	1799	1224
595	1803	1222
596	1805	1218
597	1807	1214
598	1808	1211
599	1812	1208
600	1816	1206
601	1819	1203
602	1822	1199
603	1828	1198
604	1831	1195
605	1833	1192
606	1836	1188
607	1838	1185
608	1850	1188
609	1855	1186
610	1861	1185
611	1863	1181
612	1865	1177
613	1869	1175
614	1872	1172
615	1874	1168
616	1876	1164
617	1878	1161
618	1880	1157
619	1884	1154
620	1886	1151
621	1889	1148
622	1891	1144
623	1893	1141
624	1895	1137
625	1899	1134
626	1901	1130
627	1903	1127
628	1906	1124
629	1908	1120
630	1914	1119
631	1918	1117
632	1920	1113
633	1922	1109
634	1926	1107
635	1929	1104
636	1931	1100
637	1934	1097
638	1936	1094
639	1943	1093
640	1946	1089
641	1948	1086
642	1951	1083
643	1955	1080
644	1958	1077
645	1960	1074
646	1962	1070
647	1968	1069
648	1972	1066
649	1975	1063
650	1977	1059
651	1978	1056
652	1983	1053
653	1986	1050
654	1988	1047
655	1991	1044
656	1994	1041
657	1997	1038
658	1999	1034
659	2001	1030
660	2003	1027
661	2005	1024
662	2009	1021
663	2011	1017
664	2014	1014
665	2016	1011
666	2018	1007
667	2020	1004
668	2023	1000
669	2025	997
670	2028	994
671	2030	990
672	2032	987
673	2034	983
674	2036	980
675	2040	978
676	2043	974
677	2046	971
678	2048	968
679	2055	967
680	2059	964
681	2061	961
682	2063	957
683	2066	954
684	2069	951
685	2072	948
686	2074	945
687	2076	941
688	2079	938
689	2082	935
690	2084	932
691	2086	928
692	2088	925
693	2090	921
694	2093	918
695	2096	915
696	2098	912
697	2101	909
698	2104	906
699	2106	902
700	2110	900
701	2112	896
702	2116	894
703	2118	890
704	2120	887
705	2126	885
706	2129	882
707	2131	879
708	2135	876
709	2138	873
710	2143	871
711	2145	867
712	2150	865
713	2153	862
714	2157	859
715	2159	856
716	2161	853
717	2165	850
718	2168	847
719	2170	844
720	2173	840
721	2175	837
722	2179	835
723	2183	832
724	2188	830
725	2194	828
726	2198	825
727	2201	822
728	2203	819
729	2208	816
730	2210	813
731	2213	810
732	2214	806
733	2216	803
734	2220	800
735	2222	797
736	2225	794
737	2228	791
738	2230	787
739	2234	785
740	2237	782
741	2239	778
742	2241	775
743	2243	772
744	2245	768
745	2250	766
746	2252	762
747	2255	759
748	2256	756
749	2259	753
750	2261	749
751	2264	746
752	2266	743
753	2268	740
754	2270	736
755	2272	733
756	2274	730
757	2278	727
758	2281	724
759	2283	721
760	2285	717
761	2287	714
762	2289	711
763	2292	708
764	2294	704
765	2296	701
766	2298	698
767	2300	695
768	2303	692
769	2307	689
770	2309	686
771	2312	683
772	2314	679
773	2317	676
774	2322	674
775	2324	671
776	2328	668
777	2329	664
778	2333	662
779	2335	658
780	2338	655
781	2340	652
782	2341	649
783	2345	646
784	2347	643
785	2350	639
786	2352	636
787	2353	633
788	2355	629
789	2357	626
790	2361	623
791	2363	620
792	2365	617
793	2367	614
794	2369	611
795	2371	607
796	2376	605
797	2378	602
798	2381	599
799	2383	595
800	2386	592
801	2389	589
802	2392	586
803	2395	583
804	2397	580
805	2401	578
806	2403	574
807	2406	571
808	2408	568
809	2409	565
810	2411	562
811	2415	559
812	2417	556
813	2420	553
814	2421	549
815	2423	546
816	2425	543
817	2428	540
818	2431	537
819	2432	534
820	2435	530
821	2437	527
822	2439	524
823	2443	522
824	2445	518
825	2451	516
826	2454	513
827	2457	510
828	2461	507
829	2463	504
830	2466	501
831	2467	498
832	2471	495
833	2475	492
834	2478	489
835	2480	486
836	2484	483
837	2487	480
838	2490	477
839	2492	474
840	2493	471
841	2496	468
842	2499	465
843	2502	462
844	2504	459
845	2506	456
846	2510	453
847	2518	451
848	2522	448
849	2530	446
850	2532	443
851	2534	440
852	2536	437
853	2539	434
854	2542	431
855	2543	427
856	2546	424
857	2548	421
858	2549	418
859	2551	415
860	2554	412
861	2557	409
862	2559	406
863	2561	403
864	2563	400
865	2565	397
866	2570	394
867	2572	391
868	2575	388
869	2578	385
870	2580	382
871	2584	379
872	2588	376
873	2590	373
874	2592	370
875	2594	367
876	2598	364
877	2600	361
878	2602	358
879	2604	355
880	2605	351
881	2607	348
882	2609	345
883	2613	342
884	2615	339
885	2618	336
886	2620	333
887	2622	330
888	2624	327
889	2627	324
890	2630	321
891	2632	318
892	2635	315
893	2637	312
894	2641	309
895	2646	307
896	2650	304
897	2654	301
898	2660	298
899	2662	295
900	2665	292
901	2667	289
902	2676	287
903	2678	284
904	2680	281
905	2683	278
906	2686	275
907	2691	272
908	2694	269
909	2696	266
910	2703	264
911	2707	261
912	2709	258
913	2711	255
914	2717	252
915	2721	249
916	2723	246
917	2725	243
918	2728	240
919	2732	237
920	2734	234
921	2736	231
922	2738	228
923	2740	225
924	2743	222
925	2746	219
926	2748	216
927	2751	213
928	2753	210
929	2755	207
930	2761	204
931	2765	201
932	2768	198
933	2770	195
934	2776	193
935	2780	190
936	2782	187
937	2784	184
938	2788	181
939	2790	178
940	2794	175
941	2796	172
942	2798	169
943	2800	166
944	2805	163
945	2809	160
946	2812	157
947	2813	154
948	2819	151
949	2821	148
950	2823	145
951	2826	142
952	2832	139
953	2834	136
954	2837	133
955	2839	130
956	2846	127
957	2851	125
958	2854	122
959	2859	119
960	2867	116
961	2869	113
962	2871	110
963	2878	107
964	2884	104
965	2890	101
966	2893	98
967	2908	96
968	2910	93
969	2920	90
970	2923	87
971	2925	84
972	2933	81
973	2936	78
974	2938	75
975	2942	72
976	2949	69
977	2952	66
978	2956	63
979	2960	60
980	2964	57
981	2966	54
982	2968	51
983	2975	48
984	2979	45
985	2981	42
986	2983	39
987	2992	36
988	2994	33
989	2997	30
990	2999	27
991	3001	24
992	3004	21
993	3007	18
994	3017	15
995	3020	12
996	3023	9
997	3030	6
998	3033	3
999	3037	0
